doi;Kolumn1;agreement;yfa_kod;article_title;corresponding_auth;approved_date;approved_year;first_published;apc;apc_source;currency;over limit;oa_type
10.1007/s12529-016-9629-9;;Springer Compact;YFA_SCO;;Mikael Gajecki;2016-12-30;2016;;2200,00;discounted;EUR;;Hybrid
10.1007/s10461-016-1662-9;;Springer Compact;YFA_SCO;;T. Alfvén;2016-12-29;2016;;2200,00;discounted;EUR;;Hybrid
10.1007/s10654-016-0220-0;;Springer Compact;YFA_SCO;;Anders Ahlbom;2016-12-27;2016;;2200,00;discounted;EUR;;Hybrid
10.1007/s00431-016-2843-2;;Springer Compact;YFA_SCO;;Anna Nilsson;2016-12-27;2016;;2200,00;discounted;EUR;;Hybrid
10.1007/s00296-016-3641-x;;Springer Compact;YFA_SCO;;Ingrid Demmelmaier;2016-12-27;2016;;2200,00;discounted;EUR;;Hybrid
10.1007/s10067-016-3525-1;;Springer Compact;YFA_SCO;;Per Wändell;2016-12-22;2016;;2200,00;discounted;EUR;;Hybrid
10.1208/s12248-016-0027-7;;Springer Compact;YFA_SCO;;Eric Thelin;2016-12-09;2016;;2200,00;discounted;EUR;;Hybrid
10.1007/s11136-016-1479-z;;Springer Compact;YFA_SCO;;Mariann Olsson;2016-12-08;2016;;2200,00;discounted;EUR;;Hybrid
10.1007/s00394-016-1356-0;;Springer Compact;YFA_SCO;;Alessio Crippa;2016-12-07;2016;;2200,00;discounted;EUR;;Hybrid
10.1007/s11469-017-9866-4;;Springer Compact;YFA_SCO;;Anne Berman;2017-12-29;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s00268-017-4423-7;;Springer Compact;YFA_SCO;;Henrik Iversen;2017-12-22;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s10877-017-0094-z;;Springer Compact;YFA_SCO;;Tova Hamrin;2017-12-22;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s00268-017-4235-9;;Springer Compact;YFA_SCO;;P. Mattsson;2017-12-18;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s00424-017-2096-6;;Springer Compact;YFA_SCO;;Anders Arner;2017-12-18;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s10689-017-0067-x;;Springer Compact;YFA_SCO;;Kristina Lagerstedt-Robinson;2017-12-13;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s00125-017-4528-4;;Springer Compact;YFA_SCO;;Nicolas Pillon;2017-12-12;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s40271-017-0291-3;;Springer Compact;YFA_SCO;;Brian Godman;2017-12-11;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s10578-017-0777-1;;Springer Compact;YFA_SCO;;Lorena Fernández de la Cruz;2017-12-11;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s00125-017-4527-5;;Springer Compact;YFA_SCO;;Jan Bolinder;2017-12-08;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s11019-017-9817-7;;Springer Compact;YFA_SCO;;Gert Helgesson;2017-12-07;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s40266-017-0509-z;;Springer Compact;YFA_SCO;;Marianne Reimers;2017-12-04;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s00221-017-5137-7;;Springer Compact;YFA_SCO;;Zakaryah Abdulkarim;2017-11-28;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s10549-017-4599-4;;Springer Compact;YFA_SCO;;Alexios Matikas;2017-11-27;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s00167-017-4814-1;;Springer Compact;YFA_SCO;;Christoffer von Essen;2017-11-23;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s10910-017-0837-6;;Springer Compact;YFA_SCO;;Dževad Belkić;2017-11-20;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s10029-017-1705-9;;Springer Compact;YFA_SCO;;J. Magnusson;2017-11-20;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s00167-017-4805-2;;Springer Compact;YFA_SCO;;Anders Stålman;2017-11-17;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s00240-017-1020-z;;Springer Compact;YFA_SCO;;Christian Chaussy;2017-11-16;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s00420-017-1276-1;;Springer Compact;YFA_SCO;;Cecilia Kullberg;2017-11-15;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s11144-017-1315-7;;Springer Compact;YFA_SCO;;Vladana Vukojević;2017-11-14;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s00467-017-3848-4;;Springer Compact;YFA_SCO;;Mattias Carlstrom;2017-11-14;2017;;2200,00;discounted;EUR;;Hybrid
10.1208/s12248-017-0161-x;;Springer Compact;YFA_SCO;;Volker Lauschke;2017-11-14;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s10096-017-3141-2;;Springer Compact;YFA_SCO;;Johan Struwe;2017-11-13;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s10787-017-0418-0;;Springer Compact;YFA_SCO;;Konstantin Yakimchuk;2017-11-13;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s00415-017-8676-8;;Springer Compact;YFA_SCO;;David Conradsson;2017-11-09;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s00268-017-4341-8;;Springer Compact;YFA_SCO;;E. Swedenhammar;2017-11-08;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s40368-017-0317-5;;Springer Compact;YFA_SCO;;M. Jarkander;2017-11-06;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s00428-017-2263-3;;Springer Compact;YFA_SCO;;Artur Mezheyeuski;2017-11-06;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s10549-017-4571-3;;Springer Compact;YFA_SCO;;Sara Mijwel;2017-11-06;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s00228-017-2366-4;;Springer Compact;YFA_SCO;;Irene Eriksson;2017-11-02;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s00125-017-4492-z;;Springer Compact;YFA_SCO;;Malin Flodström-Tullberg;2017-10-30;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s10508-017-1106-2;;Springer Compact;YFA_SCO;;Lena Schönnesson;2017-10-27;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s10549-017-4555-3;;Springer Compact;YFA_SCO;;Kenny Rodriguez-Wallberg;2017-10-27;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s12020-017-1461-8;;Springer Compact;YFA_SCO;;Jan Calissendorff;2017-10-19;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s00277-017-3158-8;;Springer Compact;YFA_SCO;;Dawei Xu;2017-10-19;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s10875-017-0455-x;;Springer Compact;YFA_SCO;;Lennart Hammarström;2017-10-18;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s00586-017-5346-6;;Springer Compact;YFA_SCO;;Paul Gerdhem;2017-10-16;2017;;2200,00;discounted;EUR;;Hybrid
10.1007/s11695-017-2978-x;;Springer Compact;YFA_SCO;;Sun Sun;2017-10-16;2017;;2200,00;discounted;EUR;;Hybrid
